# CSP Optical + NIR data for SN2005ag
# Timestamp:  2011-10-25 15:53:05
# zcmb = 0.080020	  RA = 14:56:43.68	 DEC = +09:19:42.49
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-
53424.30926	19.070	0.029	18.763	0.028	18.915	0.028	18.700	0.018	19.316	0.037	19.566	0.039	20.083	0.080	19.417	0.103
53425.29053	19.196	0.060	18.839	0.044	19.010	0.058	18.756	0.039	19.389	0.058	99.900	99.900	99.900	99.900	99.900	99.900
53426.34115	19.259	0.045	18.784	0.033	19.007	0.037	18.777	0.022	19.477	0.049	19.649	0.038	20.589	0.096	19.571	0.144
53427.33620	19.312	0.040	18.909	0.029	19.114	0.029	18.863	0.023	19.588	0.052	19.582	0.038	20.427	0.089	19.932	0.102
53428.35331	19.426	0.039	18.996	0.034	19.241	0.029	18.897	0.025	19.521	0.045	99.900	99.900	99.900	99.900	99.900	99.900
53429.32434	19.456	0.068	18.914	0.051	19.383	0.059	19.029	0.022	19.595	0.038	99.900	99.900	99.900	99.900	99.900	99.900
53430.35036	19.655	0.037	19.091	0.028	19.445	0.029	19.061	0.022	19.641	0.040	19.493	0.069	20.436	0.163	20.116	0.236
53431.37155	19.844	0.050	19.196	0.031	19.529	0.027	19.082	0.021	19.643	0.041	99.900	99.900	99.900	99.900	99.900	99.900
53432.35960	19.939	0.041	19.244	0.026	19.621	0.027	19.103	0.019	19.580	0.033	99.900	99.900	99.900	99.900	99.900	99.900
53436.30581	20.412	0.037	19.529	0.021	20.029	0.021	19.320	0.015	19.663	0.036	99.900	99.900	99.900	99.900	99.900	99.900
53444.34488	21.186	0.049	20.125	0.032	20.753	0.025	19.593	0.019	19.550	0.024	18.953	0.032	19.949	0.101	19.527	0.111
53445.33350	21.235	0.042	20.184	0.031	20.791	0.025	19.651	0.017	19.570	0.026	99.900	99.900	99.900	99.900	99.900	99.900
53446.34374	21.175	0.062	20.168	0.032	20.817	0.033	19.722	0.022	19.551	0.025	99.900	99.900	99.900	99.900	99.900	99.900
53447.32449	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.915	0.041	19.814	0.078	19.623	0.115
53450.34595	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	18.990	0.034	19.507	0.046	19.261	0.067
53452.27754	21.518	0.158	20.634	0.082	21.173	0.118	20.019	0.043	19.830	0.040	99.900	99.900	99.900	99.900	99.900	99.900
53453.23053	21.626	0.226	20.630	0.093	21.243	0.140	19.965	0.042	19.973	0.046	99.900	99.900	99.900	99.900	99.900	99.900
53454.27017	21.553	0.274	99.900	99.900	21.276	0.240	20.103	0.056	19.983	0.065	99.900	99.900	99.900	99.900	99.900	99.900
53455.32534	99.900	99.900	20.648	0.156	99.900	99.900	20.277	0.073	20.118	0.081	99.900	99.900	99.900	99.900	99.900	99.900
53456.31566	21.704	0.284	20.653	0.090	21.237	0.132	20.251	0.054	20.179	0.050	99.900	99.900	99.900	99.900	99.900	99.900
53457.29998	21.510	0.211	20.900	0.124	21.231	0.113	20.295	0.049	20.189	0.051	99.900	99.900	99.900	99.900	99.900	99.900
53458.29913	22.089	0.311	20.744	0.095	99.900	99.900	20.227	0.046	20.277	0.058	99.900	99.900	99.900	99.900	99.900	99.900
53459.32038	21.895	0.255	20.898	0.081	21.290	0.110	20.374	0.043	20.275	0.056	99.900	99.900	99.900	99.900	99.900	99.900
53460.25462	21.814	0.183	20.987	0.097	21.291	0.090	20.405	0.047	20.315	0.047	99.900	99.900	99.900	99.900	99.900	99.900
53464.32410	22.020	0.139	20.975	0.083	21.485	0.048	20.441	0.022	20.542	0.045	99.900	99.900	99.900	99.900	99.900	99.900
53465.32425	21.816	0.096	20.951	0.051	21.585	0.046	20.485	0.028	20.515	0.050	99.900	99.900	99.900	99.900	99.900	99.900
53466.33324	21.994	0.204	20.990	0.058	21.502	0.044	20.507	0.029	20.669	0.058	99.900	99.900	99.900	99.900	99.900	99.900
53467.30764	21.876	0.077	20.989	0.047	21.456	0.045	20.561	0.033	20.775	0.054	99.900	99.900	99.900	99.900	99.900	99.900
53468.27591	21.941	0.054	21.017	0.032	21.587	0.036	20.577	0.024	20.657	0.039	99.900	99.900	99.900	99.900	99.900	99.900
53472.33478	21.949	0.072	21.090	0.040	21.608	0.040	20.740	0.028	20.864	0.056	99.900	99.900	99.900	99.900	99.900	99.900
53474.26446	21.913	0.078	21.060	0.036	21.665	0.052	20.721	0.031	20.920	0.049	99.900	99.900	99.900	99.900	99.900	99.900
53475.30490	22.083	0.068	21.117	0.046	21.653	0.040	20.744	0.028	20.879	0.055	99.900	99.900	99.900	99.900	99.900	99.900
53477.22392	21.971	0.064	21.102	0.044	21.697	0.039	20.796	0.025	21.036	0.044	99.900	99.900	99.900	99.900	99.900	99.900
53478.30571	22.036	0.125	21.171	0.071	21.599	0.037	20.813	0.030	21.165	0.065	99.900	99.900	99.900	99.900	99.900	99.900
53479.31678	21.909	0.073	21.161	0.046	21.649	0.044	20.856	0.030	21.184	0.060	99.900	99.900	99.900	99.900	99.900	99.900
53480.33477	22.219	0.233	21.208	0.124	21.714	0.060	20.958	0.050	21.025	0.119	99.900	99.900	99.900	99.900	99.900	99.900
