"name"	"SN2003cg"
"source"	"name"	"<a href='http://heracles.astro.berkeley.edu/sndb/info'>UCB Filippenko Group's Supernova Database (SNDB)</a>"	"alias"	"1"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"2"	"secondary"	"1"
"source"	"name"	"N.Elias-Rosa et al., 2006, astro-ph/0603316"	"alias"	"3"
"source"	"name"	"VSNET Oct2003"	"alias"	"4"
"source"	"name"	"M.Hicken et al., 2009, astro-ph/0901.4787"	"alias"	"5"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"6"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"Itagaki, Arbour"
"photometry"	"timeunit"	"MJD"	"time"	"52720.3"	"band"	"C"	"abmag"	"14.9"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52720.44"	"band"	"C"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52720.55"	"band"	"C"	"abmag"	"15.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52720.83"	"band"	"C"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52721.15"	"band"	"R"	"abmag"	"15"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52721.18"	"band"	"V"	"abmag"	"16"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52721.26"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.23200"	"aberr"	"0.04600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52721.26"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.42500"	"aberr"	"0.01900"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52721.26"	"band"	"B"	"instrument"	"kait3"	"abmag"	"16.48900"	"aberr"	"0.03700"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52721.44"	"band"	"B"	"abmag"	"16.49"	"aberr"	"0.06"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52721.44"	"band"	"I"	"abmag"	"14.14"	"aberr"	"0.07"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52721.44"	"band"	"R"	"abmag"	"14.58"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52721.44"	"band"	"U"	"abmag"	"17.03"	"aberr"	"0.19"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52721.44"	"band"	"V"	"abmag"	"15.27"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52721.94"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52721.99"	"band"	"R"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.04"	"band"	"B"	"abmag"	"16.35"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.04"	"band"	"I"	"abmag"	"14.07"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.04"	"band"	"R"	"abmag"	"14.55"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.04"	"band"	"U"	"abmag"	"16.91"	"aberr"	"0.08"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.04"	"band"	"V"	"abmag"	"15.24"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.06"	"band"	"B"	"abmag"	"16.34"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.06"	"band"	"I"	"abmag"	"14"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.06"	"band"	"R"	"abmag"	"14.5"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.06"	"band"	"V"	"abmag"	"15.21"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.25"	"band"	"R"	"abmag"	"14.4"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.28"	"band"	"I"	"instrument"	"kait3"	"abmag"	"14.04300"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52722.28"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.57100"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52722.28"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.28000"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52722.28"	"band"	"B"	"instrument"	"kait3"	"abmag"	"16.34500"	"aberr"	"0.01500"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52722.76"	"band"	"R"	"abmag"	"14.8"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.84"	"band"	"R"	"abmag"	"14.7"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.85"	"band"	"R"	"abmag"	"14.8"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.89"	"band"	"C"	"abmag"	"14.1"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.9"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.91"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.91"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52722.94"	"band"	"B"	"abmag"	"16.22"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.94"	"band"	"I"	"abmag"	"13.95"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.94"	"band"	"R"	"abmag"	"14.44"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.94"	"band"	"U"	"abmag"	"16.77"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52722.94"	"band"	"V"	"abmag"	"15.09"	"aberr"	"0.01"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52723.2"	"band"	"R"	"abmag"	"14.7"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52723.26"	"band"	"I"	"instrument"	"kait3"	"abmag"	"13.94200"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52723.26"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.44800"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52723.26"	"band"	"V"	"instrument"	"kait3"	"abmag"	"15.14800"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52723.26"	"band"	"B"	"instrument"	"kait3"	"abmag"	"16.19800"	"aberr"	"0.02100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52723.72594"	"band"	"U"	"abmag"	"16.718"	"aberr"	"0.036"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52723.72912"	"band"	"B"	"abmag"	"16.102"	"aberr"	"0.025"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52723.73157"	"band"	"V"	"abmag"	"14.989"	"aberr"	"0.013"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52723.73332"	"band"	"R"	"abmag"	"14.322"	"aberr"	"0.015"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52723.73475"	"band"	"I"	"abmag"	"13.862"	"aberr"	"0.016"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52723.81"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52723.86"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52724.03"	"band"	"B"	"abmag"	"16.13"	"aberr"	"0.2"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52724.03"	"band"	"R"	"abmag"	"14.29"	"aberr"	"0.06"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52724.03"	"band"	"V"	"abmag"	"14.99"	"aberr"	"0.36"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52724.24"	"band"	"V"	"abmag"	"15.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52724.27"	"band"	"R"	"abmag"	"14.7"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52724.32"	"band"	"B"	"abmag"	"16.09"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52724.32"	"band"	"I"	"abmag"	"13.85"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52724.32"	"band"	"R"	"abmag"	"14.29"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52724.32"	"band"	"V"	"abmag"	"14.92"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52724.33"	"band"	"B"	"abmag"	"16.2"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52724.77"	"band"	"R"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52724.79"	"band"	"R"	"abmag"	"14.4"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52725.12"	"band"	"V"	"abmag"	"15.2"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52725.16"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52725.2"	"band"	"B"	"abmag"	"16.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52725.35"	"band"	"B"	"abmag"	"16.03"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.35"	"band"	"I"	"abmag"	"13.84"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.35"	"band"	"R"	"abmag"	"14.27"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.35"	"band"	"V"	"abmag"	"14.84"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.47"	"band"	"C"	"abmag"	"14.2"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52725.52"	"band"	"B"	"abmag"	"16.08"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.52"	"band"	"I"	"abmag"	"13.77"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.52"	"band"	"R"	"abmag"	"14.24"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.52"	"band"	"U"	"abmag"	"16.67"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.52"	"band"	"V"	"abmag"	"14.85"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52725.68506"	"band"	"U"	"abmag"	"16.616"	"aberr"	"0.035"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52725.68826"	"band"	"B"	"abmag"	"16.019"	"aberr"	"0.034"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52725.69074"	"band"	"V"	"abmag"	"14.835"	"aberr"	"0.01"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52725.69253"	"band"	"R"	"abmag"	"14.206"	"aberr"	"0.011"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52725.69397"	"band"	"I"	"abmag"	"13.8"	"aberr"	"0.014"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52725.82"	"band"	"R"	"abmag"	"14.1"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52726.01"	"band"	"B"	"abmag"	"16.02"	"aberr"	"0.19"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52726.01"	"band"	"I"	"abmag"	"13.82"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52726.01"	"band"	"R"	"abmag"	"14.19"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52726.01"	"band"	"V"	"abmag"	"14.82"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52726.24"	"band"	"R"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52726.27"	"band"	"I"	"instrument"	"kait3"	"abmag"	"13.80700"	"aberr"	"0.01100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52726.27"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.24400"	"aberr"	"0.01400"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52726.27"	"band"	"V"	"instrument"	"kait3"	"abmag"	"14.86900"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52726.27"	"band"	"B"	"instrument"	"kait3"	"abmag"	"15.93200"	"aberr"	"0.01200"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52726.52"	"band"	"B"	"abmag"	"15.99"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52726.52"	"band"	"I"	"abmag"	"13.84"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52726.52"	"band"	"R"	"abmag"	"14.18"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52726.52"	"band"	"V"	"abmag"	"14.78"	"aberr"	"0.06"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52727.07"	"band"	"B"	"abmag"	"15.98"	"aberr"	"0.06"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52727.07"	"band"	"I"	"abmag"	"13.8"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52727.07"	"band"	"R"	"abmag"	"14.17"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52727.07"	"band"	"V"	"abmag"	"14.82"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52727.27"	"band"	"I"	"instrument"	"kait3"	"abmag"	"13.81800"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52727.27"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.21400"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52727.27"	"band"	"V"	"instrument"	"kait3"	"abmag"	"14.82300"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52727.27"	"band"	"B"	"instrument"	"kait3"	"abmag"	"15.92100"	"aberr"	"0.01600"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52727.47"	"band"	"C"	"abmag"	"13.9"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52727.83"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52727.84"	"band"	"R"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52727.97"	"band"	"R"	"abmag"	"13.9"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52727.99"	"band"	"R"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52728.22"	"band"	"I"	"instrument"	"kait3"	"abmag"	"13.85200"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52728.22"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.20100"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52728.22"	"band"	"V"	"instrument"	"kait3"	"abmag"	"14.79500"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52728.22"	"band"	"B"	"instrument"	"kait3"	"abmag"	"15.88500"	"aberr"	"0.01800"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52728.7902"	"band"	"U"	"abmag"	"16.589"	"aberr"	"0.039"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52728.79339"	"band"	"B"	"abmag"	"15.972"	"aberr"	"0.023"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52728.79589"	"band"	"V"	"abmag"	"14.683"	"aberr"	"0.012"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52728.79767"	"band"	"R"	"abmag"	"14.159"	"aberr"	"0.017"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52728.79913"	"band"	"I"	"abmag"	"13.828"	"aberr"	"0.016"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52728.9"	"band"	"V"	"abmag"	"15"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52729.24"	"band"	"I"	"instrument"	"kait3"	"abmag"	"13.88300"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52729.24"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.21000"	"aberr"	"0.01300"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52729.24"	"band"	"V"	"instrument"	"kait3"	"abmag"	"14.75300"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52729.24"	"band"	"B"	"instrument"	"kait3"	"abmag"	"15.86600"	"aberr"	"0.01400"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52729.63"	"band"	"C"	"abmag"	"13.9"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52729.7"	"band"	"C"	"abmag"	"14"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52729.81"	"band"	"R"	"abmag"	"14.7"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52729.86"	"band"	"R"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52729.91"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52730.26"	"band"	"I"	"instrument"	"kait3"	"abmag"	"13.90300"	"aberr"	"0.01100"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52730.26"	"band"	"R"	"instrument"	"kait3"	"abmag"	"14.20900"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52730.26"	"band"	"V"	"instrument"	"kait3"	"abmag"	"14.73500"	"aberr"	"0.01000"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52730.26"	"band"	"B"	"instrument"	"kait3"	"abmag"	"16.08700"	"aberr"	"0.02400"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"52730.33"	"band"	"B"	"abmag"	"15.97"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.33"	"band"	"I"	"abmag"	"13.86"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.33"	"band"	"R"	"abmag"	"14.15"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.33"	"band"	"V"	"abmag"	"14.72"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.48"	"band"	"C"	"abmag"	"14.1"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52730.66"	"band"	"B"	"abmag"	"16.05"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.66"	"band"	"I"	"abmag"	"13.88"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.66"	"band"	"R"	"abmag"	"14.15"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.66"	"band"	"U"	"abmag"	"16.79"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.66"	"band"	"V"	"abmag"	"14.74"	"aberr"	"0.06"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52730.84"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52730.89"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52731.12"	"band"	"C"	"abmag"	"15"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52731.58"	"band"	"C"	"abmag"	"14"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52731.6473"	"band"	"V"	"abmag"	"14.705"	"aberr"	"0.01"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52731.64909"	"band"	"R"	"abmag"	"14.153"	"aberr"	"0.011"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52731.65052"	"band"	"I"	"abmag"	"13.914"	"aberr"	"0.014"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52731.83"	"band"	"C"	"abmag"	"14.1"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52732.49"	"band"	"C"	"abmag"	"14.1"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52732.62"	"band"	"B"	"abmag"	"16.1"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52732.62"	"band"	"I"	"abmag"	"13.95"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52732.62"	"band"	"R"	"abmag"	"14.18"	"aberr"	"0.02"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52732.62"	"band"	"U"	"abmag"	"16.87"	"aberr"	"0.09"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52732.62"	"band"	"V"	"abmag"	"14.76"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.12"	"band"	"B"	"abmag"	"16.04"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.12"	"band"	"I"	"abmag"	"13.97"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.12"	"band"	"R"	"abmag"	"14.19"	"aberr"	"0.04"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.12"	"band"	"V"	"abmag"	"14.79"	"aberr"	"0.05"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.39"	"band"	"B"	"abmag"	"16.05"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.39"	"band"	"I"	"abmag"	"14"	"aberr"	"0.06"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.39"	"band"	"R"	"abmag"	"14.24"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.39"	"band"	"U"	"abmag"	"16.89"	"aberr"	"0.1"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.39"	"band"	"V"	"abmag"	"14.83"	"aberr"	"0.03"	"source"	"2,3"
"photometry"	"timeunit"	"MJD"	"time"	"52733.82"	"band"	"R"	"abmag"	"14.5"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52733.88"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52733.91"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52733.95"	"band"	"R"	"abmag"	"14.3"	"source"	"2,4"
"photometry"	"timeunit"	"MJD"	"time"	"52734.71781"	"band"	"U"	"abmag"	"17.024"	"aberr"	"0.039"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52734.72101"	"band"	"B"	"abmag"	"16.052"	"aberr"	"0.034"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52734.72348"	"band"	"V"	"abmag"	"14.778"	"aberr"	"0.025"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52734.72525"	"band"	"R"	"abmag"	"14.256"	"aberr"	"0.021"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52734.7267"	"band"	"I"	"abmag"	"14.03"	"aberr"	"0.013"	"source"	"2,5"
"photometry"	"timeunit"	"MJD"	"time"	"52734.87"	"band"	"R"	"abmag"	"14.6"	"source"	"2,4"
