"name"	"SN1999aa"
"source"	"name"	"<a href='https://www.cfa.harvard.edu/supernova/SNarchive.html'>CfA Supernova Archive</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2006AJ....131..527J'>2006AJ....131..527J</a>"	"alias"	"2"
"source"	"name"	"<a href='http://heracles.astro.berkeley.edu/sndb/info'>UCB Filippenko Group's Supernova Database (SNDB)</a>"	"alias"	"3"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"4"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"5"
"source"	"name"	"S.Jha et al., 2005, astro-ph/0509234"	"alias"	"6"
"source"	"name"	"D.Yu.Tsvetkov, N.N.Pavlyuk. In preparation."	"alias"	"7"
"photometry"	"timeunit"	"MJD"	"time"	"51222.7"	"band"	"V"	"abmag"	"15.59"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"U"	"abmag"	"14.818"	"aberr"	"0.037"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"B"	"abmag"	"15.417"	"aberr"	"0.012"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"V"	"abmag"	"15.466"	"aberr"	"0.007"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"R"	"abmag"	"15.439"	"aberr"	"0.009"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"I"	"abmag"	"15.534"	"aberr"	"0.011"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"B"	"abmag"	"15.42"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"I"	"abmag"	"15.53"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"R"	"abmag"	"15.44"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"U"	"abmag"	"14.82"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51223.34"	"band"	"V"	"abmag"	"15.47"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51223.78"	"band"	"B"	"abmag"	"15.86"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51223.78"	"band"	"I"	"abmag"	"15.68"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51223.78"	"band"	"R"	"abmag"	"15.44"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51223.78"	"band"	"V"	"abmag"	"15.49"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"U"	"abmag"	"14.693"	"aberr"	"0.043"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"B"	"abmag"	"15.276"	"aberr"	"0.022"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"V"	"abmag"	"15.351"	"aberr"	"0.009"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"R"	"abmag"	"15.346"	"aberr"	"0.012"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"I"	"abmag"	"15.415"	"aberr"	"0.020"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"B"	"abmag"	"15.28"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"I"	"abmag"	"15.41"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"R"	"abmag"	"15.35"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"U"	"abmag"	"14.69"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51224.29"	"band"	"V"	"abmag"	"15.35"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51225.56"	"band"	"C"	"abmag"	"15.34"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51225.56"	"band"	"C"	"abmag"	"15.05"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"U"	"abmag"	"14.477"	"aberr"	"0.041"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"B"	"abmag"	"15.088"	"aberr"	"0.021"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"V"	"abmag"	"15.147"	"aberr"	"0.016"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"R"	"abmag"	"15.145"	"aberr"	"0.019"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"I"	"abmag"	"15.282"	"aberr"	"0.020"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"B"	"abmag"	"15.09"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"I"	"abmag"	"15.28"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"R"	"abmag"	"15.14"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"U"	"abmag"	"14.48"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51226.26"	"band"	"V"	"abmag"	"15.15"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51226.75"	"band"	"B"	"abmag"	"15.47"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51226.75"	"band"	"I"	"abmag"	"15.15"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51226.75"	"band"	"R"	"abmag"	"15.19"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51226.75"	"band"	"V"	"abmag"	"15.02"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51227.25"	"band"	"V"	"instrument"	"kait2"	"abmag"	"14.97500"	"aberr"	"0.10500"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51227.25"	"band"	"B"	"instrument"	"kait2"	"abmag"	"14.99700"	"aberr"	"0.01100"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51227.3"	"band"	"U"	"abmag"	"14.422"	"aberr"	"0.036"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51227.3"	"band"	"B"	"abmag"	"14.960"	"aberr"	"0.013"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51227.3"	"band"	"V"	"abmag"	"15.079"	"aberr"	"0.009"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51227.3"	"band"	"R"	"abmag"	"15.064"	"aberr"	"0.012"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51227.3"	"band"	"R"	"abmag"	"15.06"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51227.3"	"band"	"U"	"abmag"	"14.42"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51227.3"	"band"	"V"	"abmag"	"15.08"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51227.53"	"band"	"C"	"abmag"	"15.05"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51227.87"	"band"	"C"	"abmag"	"15.3"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51227.92"	"band"	"B"	"abmag"	"15.25"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51227.92"	"band"	"I"	"abmag"	"15.15"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51227.92"	"band"	"R"	"abmag"	"15.17"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51227.92"	"band"	"V"	"abmag"	"15.1"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"B"	"abmag"	"15"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"B"	"abmag"	"14.81"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"B"	"abmag"	"14.96"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"I"	"abmag"	"15.22"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"R"	"abmag"	"15.02"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"U"	"abmag"	"13.82"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"U"	"abmag"	"14.01"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"V"	"abmag"	"14.97"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.09"	"band"	"V"	"abmag"	"14.78"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51228.37"	"band"	"V"	"instrument"	"kait2"	"abmag"	"14.92800"	"aberr"	"0.05300"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51228.37"	"band"	"R"	"instrument"	"kait2"	"abmag"	"14.94700"	"aberr"	"0.02100"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51228.37"	"band"	"B"	"instrument"	"kait2"	"abmag"	"14.97600"	"aberr"	"0.02000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51228.37"	"band"	"I"	"instrument"	"kait2"	"abmag"	"15.11800"	"aberr"	"0.04900"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51228.58"	"band"	"C"	"abmag"	"15.1"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51229.26"	"band"	"R"	"instrument"	"kait2"	"abmag"	"14.92400"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51229.26"	"band"	"B"	"instrument"	"kait2"	"abmag"	"14.92900"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51229.26"	"band"	"V"	"instrument"	"kait2"	"abmag"	"14.95000"	"aberr"	"0.01100"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51229.26"	"band"	"I"	"instrument"	"kait2"	"abmag"	"15.16100"	"aberr"	"0.02000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51229.74"	"band"	"B"	"abmag"	"15.07"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51229.74"	"band"	"I"	"abmag"	"15.1"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51229.74"	"band"	"R"	"abmag"	"15.07"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51229.74"	"band"	"V"	"abmag"	"14.96"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51230.0"	"band"	"C"	"abmag"	"15.1"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51230.14"	"band"	"B"	"abmag"	"14.933"	"aberr"	"0.014"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51230.14"	"band"	"V"	"abmag"	"14.994"	"aberr"	"0.007"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51230.14"	"band"	"I"	"abmag"	"15.238"	"aberr"	"0.010"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51230.14"	"band"	"B"	"abmag"	"14.93"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51230.14"	"band"	"I"	"abmag"	"15.24"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51230.14"	"band"	"V"	"abmag"	"14.99"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51230.2"	"band"	"C"	"abmag"	"15.1"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51231.69"	"band"	"C"	"abmag"	"15.2"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51231.91"	"band"	"C"	"abmag"	"14.9"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51231.99"	"band"	"C"	"abmag"	"14.9"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"U"	"abmag"	"14.442"	"aberr"	"0.038"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"B"	"abmag"	"14.876"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"V"	"abmag"	"14.911"	"aberr"	"0.007"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"R"	"abmag"	"14.890"	"aberr"	"0.008"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"I"	"abmag"	"15.214"	"aberr"	"0.010"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"B"	"abmag"	"14.88"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"I"	"abmag"	"15.21"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"U"	"abmag"	"14.44"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51232.19"	"band"	"V"	"abmag"	"14.91"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51232.23"	"band"	"R"	"instrument"	"kait2"	"abmag"	"14.84400"	"aberr"	"0.01400"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51232.23"	"band"	"V"	"instrument"	"kait2"	"abmag"	"14.93500"	"aberr"	"0.01100"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51232.23"	"band"	"B"	"instrument"	"kait2"	"abmag"	"14.94800"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51232.23"	"band"	"I"	"instrument"	"kait2"	"abmag"	"15.17300"	"aberr"	"0.03400"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"U"	"abmag"	"14.486"	"aberr"	"0.036"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"B"	"abmag"	"14.895"	"aberr"	"0.012"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"V"	"abmag"	"14.909"	"aberr"	"0.008"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"R"	"abmag"	"14.888"	"aberr"	"0.011"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"I"	"abmag"	"15.290"	"aberr"	"0.023"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"B"	"abmag"	"14.89"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"R"	"abmag"	"14.89"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"U"	"abmag"	"14.49"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51233.12"	"band"	"V"	"abmag"	"14.91"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51233.23"	"band"	"R"	"instrument"	"kait2"	"abmag"	"14.83800"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51233.23"	"band"	"V"	"instrument"	"kait2"	"abmag"	"14.92000"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51233.23"	"band"	"B"	"instrument"	"kait2"	"abmag"	"14.94300"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51233.23"	"band"	"I"	"instrument"	"kait2"	"abmag"	"15.24700"	"aberr"	"0.01900"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51233.91"	"band"	"B"	"abmag"	"15.2"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51233.91"	"band"	"I"	"abmag"	"15.13"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51233.91"	"band"	"R"	"abmag"	"15"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51233.91"	"band"	"V"	"abmag"	"14.86"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51234.0"	"band"	"C"	"abmag"	"15"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51234.1"	"band"	"B"	"abmag"	"14.93"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51234.1"	"band"	"I"	"abmag"	"15.28"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51234.1"	"band"	"R"	"abmag"	"14.88"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51234.1"	"band"	"V"	"abmag"	"14.85"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51234.1"	"band"	"V"	"abmag"	"14.86"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"U"	"abmag"	"14.526"	"aberr"	"0.055"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"B"	"abmag"	"14.899"	"aberr"	"0.037"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"V"	"abmag"	"14.905"	"aberr"	"0.029"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"R"	"abmag"	"14.882"	"aberr"	"0.035"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"I"	"abmag"	"15.277"	"aberr"	"0.038"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"B"	"abmag"	"14.9"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"I"	"abmag"	"15.28"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"R"	"abmag"	"14.88"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"U"	"abmag"	"14.53"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51234.14"	"band"	"V"	"abmag"	"14.9"	"source"	"4,6"
"photometry"	"timeunit"	"MJD"	"time"	"51234.94"	"band"	"C"	"abmag"	"15.6"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51237.0"	"band"	"C"	"abmag"	"15.3"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51238.09"	"band"	"B"	"abmag"	"15.03"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51238.09"	"band"	"I"	"abmag"	"15.45"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51238.09"	"band"	"I"	"abmag"	"15.44"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51238.09"	"band"	"R"	"abmag"	"14.97"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51238.09"	"band"	"R"	"abmag"	"14.98"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51238.09"	"band"	"V"	"abmag"	"14.91"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51238.09"	"band"	"V"	"abmag"	"14.93"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51238.8"	"band"	"C"	"abmag"	"15.3"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51239.79"	"band"	"C"	"abmag"	"15.2"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51240.1"	"band"	"B"	"abmag"	"15.12"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51240.1"	"band"	"I"	"abmag"	"15.51"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51240.1"	"band"	"R"	"abmag"	"15.03"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51240.1"	"band"	"V"	"abmag"	"14.97"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51240.69"	"band"	"C"	"abmag"	"15.8"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51240.89"	"band"	"C"	"abmag"	"15.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51242.22"	"band"	"V"	"instrument"	"kait2"	"abmag"	"15.10400"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51242.22"	"band"	"R"	"instrument"	"kait2"	"abmag"	"15.10600"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51242.22"	"band"	"B"	"instrument"	"kait2"	"abmag"	"15.26600"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51242.22"	"band"	"I"	"instrument"	"kait2"	"abmag"	"15.60800"	"aberr"	"0.03000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51244.12"	"band"	"B"	"abmag"	"15.39"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51244.12"	"band"	"I"	"abmag"	"15.75"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51244.12"	"band"	"R"	"abmag"	"15.31"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51244.12"	"band"	"V"	"abmag"	"15.18"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51244.2"	"band"	"C"	"abmag"	"16.4"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51244.21"	"band"	"V"	"instrument"	"kait2"	"abmag"	"15.22600"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51244.21"	"band"	"R"	"instrument"	"kait2"	"abmag"	"15.25000"	"aberr"	"0.01100"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51244.21"	"band"	"B"	"instrument"	"kait2"	"abmag"	"15.41200"	"aberr"	"0.01300"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51244.21"	"band"	"I"	"instrument"	"kait2"	"abmag"	"15.74600"	"aberr"	"0.03500"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51244.79"	"band"	"C"	"abmag"	"15.6"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51244.79"	"band"	"C"	"abmag"	"15.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51245.0"	"band"	"C"	"abmag"	"15.4"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51245.18"	"band"	"V"	"instrument"	"kait2"	"abmag"	"15.26200"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51245.18"	"band"	"R"	"instrument"	"kait2"	"abmag"	"15.32200"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51245.18"	"band"	"B"	"instrument"	"kait2"	"abmag"	"15.50700"	"aberr"	"0.01000"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51245.18"	"band"	"I"	"instrument"	"kait2"	"abmag"	"15.80400"	"aberr"	"0.02800"	"source"	"3"
"photometry"	"timeunit"	"MJD"	"time"	"51245.86"	"band"	"I"	"abmag"	"15.74"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51245.86"	"band"	"R"	"abmag"	"15.61"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51245.86"	"band"	"V"	"abmag"	"15.45"	"source"	"4,7"
"photometry"	"timeunit"	"MJD"	"time"	"51246.0"	"band"	"C"	"abmag"	"15.5"	"source"	"4,5"
"photometry"	"timeunit"	"MJD"	"time"	"51246.25"	"band"	"U"	"abmag"	"15.531"	"aberr"	"0.036"	"source"	"1,2"
