"name"	"SN2000cf"
"source"	"name"	"<a href='https://www.cfa.harvard.edu/supernova/SNarchive.html'>CfA Supernova Archive</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2006AJ....131..527J'>2006AJ....131..527J</a>"	"alias"	"2"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"4"
"source"	"name"	"Krisciunas et al., 2005, astro-ph/0511162"	"alias"	"5"
"source"	"name"	"S.Jha et al., 2005, astro-ph/0509234"	"alias"	"6"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"7"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"Puckett, Sehgal"
"photometry"	"timeunit"	"MJD"	"time"	"51684.17"	"band"	"V"	"abmag"	"17.44"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51686.162"	"band"	"B"	"abmag"	"18.219"	"aberr"	"0.018"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51686.162"	"band"	"I"	"abmag"	"17.921"	"aberr"	"0.023"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51686.162"	"band"	"R"	"abmag"	"17.643"	"aberr"	"0.014"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51686.162"	"band"	"V"	"abmag"	"17.688"	"aberr"	"0.016"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51688.31"	"band"	"B"	"abmag"	"18.437"	"aberr"	"0.038"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51688.31"	"band"	"V"	"abmag"	"17.751"	"aberr"	"0.020"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51688.31"	"band"	"R"	"abmag"	"17.648"	"aberr"	"0.029"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51688.31"	"band"	"I"	"abmag"	"18.046"	"aberr"	"0.045"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51688.31"	"band"	"B"	"abmag"	"18.44"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51688.31"	"band"	"I"	"abmag"	"18.05"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51688.31"	"band"	"R"	"abmag"	"17.65"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51688.31"	"band"	"V"	"abmag"	"17.75"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51689.1957"	"band"	"B"	"abmag"	"18.611"	"aberr"	"0.042"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51689.1957"	"band"	"I"	"abmag"	"17.858"	"aberr"	"0.034"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51689.1957"	"band"	"R"	"abmag"	"17.76"	"aberr"	"0.022"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51689.1957"	"band"	"V"	"abmag"	"17.883"	"aberr"	"0.017"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51691.29"	"band"	"B"	"abmag"	"18.851"	"aberr"	"0.035"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51691.29"	"band"	"V"	"abmag"	"17.989"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51691.29"	"band"	"R"	"abmag"	"17.731"	"aberr"	"0.023"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51691.29"	"band"	"I"	"abmag"	"17.993"	"aberr"	"0.041"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51691.29"	"band"	"B"	"abmag"	"18.85"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51691.29"	"band"	"I"	"abmag"	"17.99"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51691.29"	"band"	"R"	"abmag"	"17.73"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51691.29"	"band"	"V"	"abmag"	"17.99"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51693.1902"	"band"	"B"	"abmag"	"19.119"	"aberr"	"0.018"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51693.1902"	"band"	"I"	"abmag"	"17.843"	"aberr"	"0.015"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51693.1902"	"band"	"R"	"abmag"	"17.844"	"aberr"	"0.013"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51693.1902"	"band"	"V"	"abmag"	"18.14"	"aberr"	"0.017"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"U"	"abmag"	"19.559"	"aberr"	"0.185"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"B"	"abmag"	"18.996"	"aberr"	"0.070"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"V"	"abmag"	"18.128"	"aberr"	"0.023"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"R"	"abmag"	"17.778"	"aberr"	"0.031"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"I"	"abmag"	"17.980"	"aberr"	"0.059"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"B"	"abmag"	"19"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"R"	"abmag"	"17.78"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"U"	"abmag"	"19.56"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51693.33"	"band"	"V"	"abmag"	"18.13"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51695.23"	"band"	"B"	"abmag"	"19.302"	"aberr"	"0.053"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51695.23"	"band"	"V"	"abmag"	"18.245"	"aberr"	"0.022"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51695.23"	"band"	"R"	"abmag"	"17.793"	"aberr"	"0.028"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51695.23"	"band"	"I"	"abmag"	"17.995"	"aberr"	"0.043"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51695.23"	"band"	"B"	"abmag"	"19.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51695.23"	"band"	"I"	"abmag"	"18"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51695.23"	"band"	"R"	"abmag"	"17.79"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51695.23"	"band"	"V"	"abmag"	"18.25"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"U"	"abmag"	"19.822"	"aberr"	"0.216"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"B"	"abmag"	"19.436"	"aberr"	"0.057"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"V"	"abmag"	"18.278"	"aberr"	"0.022"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"R"	"abmag"	"17.844"	"aberr"	"0.031"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"I"	"abmag"	"17.864"	"aberr"	"0.038"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"B"	"abmag"	"19.44"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"I"	"abmag"	"17.86"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"R"	"abmag"	"17.84"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"U"	"abmag"	"19.82"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51696.28"	"band"	"V"	"abmag"	"18.28"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51707.1905"	"band"	"B"	"abmag"	"20.171"	"aberr"	"0.04"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51707.1905"	"band"	"I"	"abmag"	"18.114"	"aberr"	"0.026"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51707.1905"	"band"	"R"	"abmag"	"18.412"	"aberr"	"0.018"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51707.1905"	"band"	"V"	"abmag"	"18.962"	"aberr"	"0.022"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51711.1762"	"band"	"B"	"abmag"	"20.269"	"aberr"	"0.048"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51711.1762"	"band"	"I"	"abmag"	"18.369"	"aberr"	"0.01"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51711.1762"	"band"	"R"	"abmag"	"18.671"	"aberr"	"0.018"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51711.1762"	"band"	"V"	"abmag"	"19.133"	"aberr"	"0.023"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51730.17"	"band"	"B"	"abmag"	"20.721"	"aberr"	"0.176"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51730.17"	"band"	"V"	"abmag"	"19.746"	"aberr"	"0.069"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51730.17"	"band"	"R"	"abmag"	"19.269"	"aberr"	"0.099"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51730.17"	"band"	"I"	"abmag"	"19.252"	"aberr"	"0.118"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51730.17"	"band"	"B"	"abmag"	"20.72"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51730.17"	"band"	"I"	"abmag"	"19.25"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51730.17"	"band"	"R"	"abmag"	"19.27"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51730.17"	"band"	"V"	"abmag"	"19.75"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51758.18"	"band"	"V"	"abmag"	"20.377"	"aberr"	"0.174"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51758.18"	"band"	"R"	"abmag"	"20.052"	"aberr"	"0.236"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51758.18"	"band"	"R"	"abmag"	"20.05"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51758.18"	"band"	"V"	"abmag"	"20.38"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51795.17"	"band"	"U"	"abmag"	"22.525"	"aberr"	"0.201"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51795.17"	"band"	"U"	"abmag"	"22.52"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51806.12"	"band"	"V"	"abmag"	"20.964"	"aberr"	"0.205"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51806.12"	"band"	"V"	"abmag"	"20.96"	"source"	"3,6"
