"name"	"SN2006gy"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"N.Smith et al., 2006, astro-ph/0612617"	"alias"	"2"
"source"	"name"	"Agnoletto et al., 2008, astro-ph/0810.0635"	"alias"	"3"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"4"
"claimedtype"	"IIn "
"discoverday"	"26"
"discoverer"	"Quimby, Mondol"
"photometry"	"timeunit"	"MJD"	"time"	"54055.37"	"band"	"R"	"abmag"	"14.38"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54061.38"	"band"	"R"	"abmag"	"14.49"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54068.39"	"band"	"R"	"abmag"	"14.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54076.33"	"band"	"R"	"abmag"	"14.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54087.25"	"band"	"R"	"abmag"	"15.15"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54088.0"	"band"	"B"	"abmag"	"16.23"	"aberr"	"0.06"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54088.0"	"band"	"I"	"abmag"	"14.37"	"aberr"	"0.06"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54088.0"	"band"	"R"	"abmag"	"14.99"	"aberr"	"0.04"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54088.0"	"band"	"V"	"abmag"	"15.08"	"aberr"	"0.15"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54089.27"	"band"	"R"	"abmag"	"15.24"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54092.25"	"band"	"R"	"abmag"	"15.26"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54094.26"	"band"	"R"	"abmag"	"15.46"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54098.26"	"band"	"R"	"abmag"	"15.45"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54102.24"	"band"	"R"	"abmag"	"15.54"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54106.21"	"band"	"R"	"abmag"	"15.71"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54121.21"	"band"	"R"	"abmag"	"15.97"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54125.22"	"band"	"R"	"abmag"	"16.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54130.1"	"band"	"R"	"abmag"	"16.26"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54133.14"	"band"	"R"	"abmag"	"16.29"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54134.13"	"band"	"R"	"abmag"	"16.24"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54135.11"	"band"	"R"	"abmag"	"16.38"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54137.19"	"band"	"R"	"abmag"	"16.35"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54141.9"	"band"	"B"	"abmag"	"17.87"	"aberr"	"0.08"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54141.9"	"band"	"I"	"abmag"	"15.86"	"aberr"	"0.07"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54141.9"	"band"	"R"	"abmag"	"16.69"	"aberr"	"0.1"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54141.9"	"band"	"V"	"abmag"	"16.75"	"aberr"	"0.22"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54150.12"	"band"	"R"	"abmag"	"16.58"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54162.15"	"band"	"R"	"abmag"	"16.68"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54166.13"	"band"	"R"	"abmag"	"16.76"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54168.14"	"band"	"R"	"abmag"	"16.71"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54169.0"	"band"	"B"	"abmag"	"18.07"	"aberr"	"0.06"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54169.0"	"band"	"I"	"abmag"	"16.19"	"aberr"	"0.06"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54169.0"	"band"	"R"	"abmag"	"16.67"	"aberr"	"0.04"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54169.0"	"band"	"V"	"abmag"	"17.74"	"aberr"	"0.15"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54170.13"	"band"	"R"	"abmag"	"16.7"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54171.13"	"band"	"R"	"abmag"	"16.72"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54173.13"	"band"	"R"	"abmag"	"16.76"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54174.14"	"band"	"R"	"abmag"	"16.75"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54175.14"	"band"	"R"	"abmag"	"16.59"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54177.14"	"band"	"R"	"abmag"	"16.79"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54178.14"	"band"	"R"	"abmag"	"16.77"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54181.14"	"band"	"R"	"abmag"	"16.71"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54183.14"	"band"	"R"	"abmag"	"16.74"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54184.14"	"band"	"R"	"abmag"	"16.74"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54203.0"	"band"	"I"	"abmag"	"16.32"	"aberr"	"0.06"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54203.0"	"band"	"R"	"abmag"	"16.93"	"aberr"	"0.04"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54203.0"	"band"	"V"	"abmag"	"17.66"	"aberr"	"0.15"	"source"	"1,3"
