"name"	"SN1994I"
"source"	"name"	"<a href='https://www.nhn.ou.edu/~suspect/'>SUSPECT</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1996AJ....111..327R&amp;db_key=AST'>1996AJ....111..327R</a>"	"alias"	"2"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"M.Richmond, E-mail"	"alias"	"4"
"photometry"	"timeunit"	"MJD"	"time"	"49447.39"	"band"	"R"	"abmag"	"13.06"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49447.39"	"band"	"U"	"abmag"	"13.88"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49447.47"	"band"	"R"	"abmag"	"12.98"	"aberr"	"0.0"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49447.47"	"band"	"V"	"abmag"	"13.2"	"aberr"	"0.0"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49447.47"	"band"	"I"	"abmag"	"12.86"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49447.5"	"band"	"B"	"abmag"	"13.83"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49447.5"	"band"	"I"	"abmag"	"12.97"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49447.5"	"band"	"R"	"abmag"	"13.02"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49447.5"	"band"	"U"	"abmag"	"13.86"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49447.5"	"band"	"V"	"abmag"	"13.21"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49447.6"	"band"	"I"	"abmag"	"13"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49447.6"	"band"	"R"	"abmag"	"13"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49447.6"	"band"	"V"	"abmag"	"13.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49447.6"	"band"	"V"	"abmag"	"13.22"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49449.3"	"band"	"B"	"abmag"	"13.71"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49449.3"	"band"	"I"	"abmag"	"12.72"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49449.3"	"band"	"R"	"abmag"	"12.74"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49449.3"	"band"	"U"	"abmag"	"13.7"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49449.3"	"band"	"V"	"abmag"	"12.96"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49449.36"	"band"	"R"	"abmag"	"12.72"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49449.36"	"band"	"V"	"abmag"	"12.99"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49449.36"	"band"	"I"	"abmag"	"12.6"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49449.36"	"band"	"B"	"abmag"	"13.68"	"aberr"	"0.21"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49449.86"	"band"	"B"	"abmag"	"14.05"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49449.86"	"band"	"U"	"abmag"	"14.7"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49449.88"	"band"	"B"	"abmag"	"13.56"	"source"	"3,9"
"photometry"	"timeunit"	"MJD"	"time"	"49449.88"	"band"	"V"	"abmag"	"13.05"	"source"	"3,9"
"photometry"	"timeunit"	"MJD"	"time"	"49449.9"	"band"	"B"	"abmag"	"13.83"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49449.91"	"band"	"B"	"abmag"	"14"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49450.4"	"band"	"B"	"abmag"	"14.03"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49450.4"	"band"	"I"	"abmag"	"12.63"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49450.4"	"band"	"R"	"abmag"	"12.65"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49450.4"	"band"	"V"	"abmag"	"12.96"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49450.8"	"band"	"R"	"abmag"	"12.8"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49450.8"	"band"	"R"	"abmag"	"12.71"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49450.8"	"band"	"V"	"abmag"	"13.1"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49450.8"	"band"	"V"	"abmag"	"12.95"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49451.4"	"band"	"B"	"abmag"	"13.82"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49451.4"	"band"	"I"	"abmag"	"12.55"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49451.4"	"band"	"R"	"abmag"	"12.57"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49451.4"	"band"	"V"	"abmag"	"12.87"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49451.7"	"band"	"R"	"abmag"	"12.7"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49451.7"	"band"	"R"	"abmag"	"12.68"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49451.7"	"band"	"V"	"abmag"	"13"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49451.76"	"band"	"B"	"abmag"	"13.88"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49452.4"	"band"	"B"	"abmag"	"13.93"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49452.4"	"band"	"I"	"abmag"	"12.55"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49452.4"	"band"	"R"	"abmag"	"12.65"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49452.4"	"band"	"U"	"abmag"	"14.3"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49452.4"	"band"	"V"	"abmag"	"12.93"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49452.45"	"band"	"R"	"abmag"	"12.62"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49452.45"	"band"	"V"	"abmag"	"12.91"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49452.45"	"band"	"I"	"abmag"	"12.49"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49452.45"	"band"	"B"	"abmag"	"13.81"	"aberr"	"0.07"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49452.6"	"band"	"I"	"abmag"	"12.6"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49452.6"	"band"	"I"	"abmag"	"12.48"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49452.6"	"band"	"R"	"abmag"	"12.7"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49452.6"	"band"	"R"	"abmag"	"12.67"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49452.6"	"band"	"V"	"abmag"	"13"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49452.76"	"band"	"B"	"abmag"	"14.18"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49453.06"	"band"	"V"	"abmag"	"12.93"	"source"	"3,10"
"photometry"	"timeunit"	"MJD"	"time"	"49453.4"	"band"	"B"	"abmag"	"14.03"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49453.4"	"band"	"I"	"abmag"	"12.57"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49453.4"	"band"	"R"	"abmag"	"12.71"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49453.4"	"band"	"V"	"abmag"	"13.02"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49453.44"	"band"	"V"	"abmag"	"13.03"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49453.44"	"band"	"I"	"abmag"	"12.52"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49453.44"	"band"	"B"	"abmag"	"14.06"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49453.44"	"band"	"R"	"abmag"	"12.76"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49453.45"	"band"	"R"	"abmag"	"12.7"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49453.45"	"band"	"V"	"abmag"	"13.01"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49453.45"	"band"	"I"	"abmag"	"12.52"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49453.45"	"band"	"B"	"abmag"	"14.02"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49453.5"	"band"	"I"	"abmag"	"12.6"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49453.5"	"band"	"I"	"abmag"	"12.56"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49453.5"	"band"	"R"	"abmag"	"12.73"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49453.5"	"band"	"R"	"abmag"	"12.7"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49453.5"	"band"	"V"	"abmag"	"13.1"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49453.5"	"band"	"V"	"abmag"	"13.06"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49453.81"	"band"	"B"	"abmag"	"14.2"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49454.06"	"band"	"V"	"abmag"	"12.9"	"source"	"3,10"
"photometry"	"timeunit"	"MJD"	"time"	"49454.3"	"band"	"B"	"abmag"	"14.18"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49454.3"	"band"	"I"	"abmag"	"12.61"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49454.3"	"band"	"R"	"abmag"	"12.76"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49454.3"	"band"	"U"	"abmag"	"14.65"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49454.3"	"band"	"V"	"abmag"	"13.1"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49454.32"	"band"	"V"	"abmag"	"13.1"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49454.32"	"band"	"I"	"abmag"	"12.54"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49454.32"	"band"	"B"	"abmag"	"14.18"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49454.32"	"band"	"R"	"abmag"	"12.78"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49454.32"	"band"	"U"	"abmag"	"14.59"	"aberr"	"0.09"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49454.35"	"band"	"R"	"abmag"	"12.74"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49454.35"	"band"	"V"	"abmag"	"13.13"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49454.35"	"band"	"I"	"abmag"	"12.56"	"aberr"	"0.0"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49454.35"	"band"	"B"	"abmag"	"14.23"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.05"	"band"	"V"	"abmag"	"13.12"	"source"	"3,10"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"V"	"abmag"	"13.3"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"I"	"abmag"	"12.65"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"R"	"abmag"	"12.77"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"B"	"abmag"	"14.56"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"R"	"abmag"	"12.95"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"V"	"abmag"	"13.14"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"I"	"abmag"	"12.59"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"B"	"abmag"	"14.35"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.38"	"band"	"U"	"abmag"	"14.91"	"aberr"	"0.15"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49455.4"	"band"	"B"	"abmag"	"14.38"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49455.4"	"band"	"I"	"abmag"	"12.64"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49455.4"	"band"	"R"	"abmag"	"12.84"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49455.4"	"band"	"V"	"abmag"	"13.18"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"49455.6"	"band"	"I"	"abmag"	"12.7"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49455.6"	"band"	"I"	"abmag"	"12.66"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49455.6"	"band"	"R"	"abmag"	"12.85"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49455.6"	"band"	"R"	"abmag"	"12.9"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49455.6"	"band"	"V"	"abmag"	"13.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49455.6"	"band"	"V"	"abmag"	"13.26"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49456.05"	"band"	"V"	"abmag"	"13.1"	"source"	"3,10"
"photometry"	"timeunit"	"MJD"	"time"	"49456.33"	"band"	"R"	"abmag"	"12.92"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49456.33"	"band"	"V"	"abmag"	"13.37"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49456.33"	"band"	"I"	"abmag"	"12.62"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49456.34"	"band"	"V"	"abmag"	"13.3"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49456.34"	"band"	"I"	"abmag"	"12.65"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49456.34"	"band"	"B"	"abmag"	"14.56"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49456.34"	"band"	"R"	"abmag"	"12.95"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49456.6"	"band"	"I"	"abmag"	"12.8"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49456.6"	"band"	"I"	"abmag"	"12.73"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49456.6"	"band"	"R"	"abmag"	"12.93"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49456.6"	"band"	"R"	"abmag"	"13"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49456.6"	"band"	"V"	"abmag"	"13.4"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49456.6"	"band"	"V"	"abmag"	"13.35"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49456.96"	"band"	"B"	"abmag"	"14.62"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49456.96"	"band"	"U"	"abmag"	"15.84"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49456.96"	"band"	"V"	"abmag"	"13.2"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49457.05"	"band"	"V"	"abmag"	"13.27"	"source"	"3,10"
"photometry"	"timeunit"	"MJD"	"time"	"49457.32"	"band"	"R"	"abmag"	"13.04"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49457.32"	"band"	"V"	"abmag"	"13.46"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49457.32"	"band"	"I"	"abmag"	"12.72"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49457.32"	"band"	"B"	"abmag"	"14.75"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49457.97"	"band"	"B"	"abmag"	"14.75"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49457.99"	"band"	"B"	"abmag"	"14.43"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49457.99"	"band"	"V"	"abmag"	"13.24"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49458.04"	"band"	"V"	"abmag"	"13.33"	"source"	"3,10"
"photometry"	"timeunit"	"MJD"	"time"	"49459.7"	"band"	"I"	"abmag"	"13"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49459.7"	"band"	"R"	"abmag"	"13.27"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49459.7"	"band"	"R"	"abmag"	"13.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49459.7"	"band"	"V"	"abmag"	"13.9"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49459.7"	"band"	"V"	"abmag"	"13.78"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49460.35"	"band"	"V"	"abmag"	"13.93"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49460.35"	"band"	"I"	"abmag"	"13.0"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49460.35"	"band"	"B"	"abmag"	"15.28"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49460.35"	"band"	"R"	"abmag"	"13.41"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49461.01"	"band"	"B"	"abmag"	"15.03"	"source"	"3,8"
"photometry"	"timeunit"	"MJD"	"time"	"49461.01"	"band"	"V"	"abmag"	"14.1"	"source"	"3,11"
"photometry"	"timeunit"	"MJD"	"time"	"49461.32"	"band"	"V"	"abmag"	"14.08"	"aberr"	"0.02"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49461.32"	"band"	"I"	"abmag"	"13.1"	"aberr"	"0.01"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49461.32"	"band"	"B"	"abmag"	"15.4"	"aberr"	"0.04"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49461.32"	"band"	"R"	"abmag"	"13.53"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49461.32"	"band"	"U"	"abmag"	"15.97"	"aberr"	"0.21"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49461.5"	"band"	"I"	"abmag"	"13.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49461.5"	"band"	"I"	"abmag"	"13.18"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49461.5"	"band"	"R"	"abmag"	"13.48"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49461.5"	"band"	"R"	"abmag"	"13.5"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49461.5"	"band"	"V"	"abmag"	"14.1"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"49461.5"	"band"	"V"	"abmag"	"14.03"	"source"	"3,7"
"photometry"	"timeunit"	"MJD"	"time"	"49463.35"	"band"	"R"	"abmag"	"13.69"	"aberr"	"0.03"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"49463.35"	"band"	"V"	"abmag"	"14.29"	"aberr"	"0.02"	"source"	"1,2"
