#
# UBVRI Photometry of SN 1998bu (Jha et al. 1999, ApJS 125, 73)
#
#Julian Day	U     Uerr 	B     Berr	V     Verr	R     Rerr 	I     Ierr	
2450971.71	13.97 0.05 	13.72 0.02 	12.69 0.01 	99.99 9.99 	12.23 0.03 
2450972.65	14.12 0.04 	13.84 0.02 	12.74 0.01 	99.99 9.99 	12.20 0.03 
2450972.68	14.16 0.04 	13.89 0.02 	12.80 0.01 	12.52 0.03 	12.22 0.03 
2450973.58	99.99 9.99 	13.95 0.11 	12.80 0.02 	12.45 0.05 	12.16 0.04 
2450973.68	99.99 9.99 	14.01 0.05 	99.99 9.99 	12.54 0.06 	12.22 0.04 
2450974.67	14.45 0.05 	14.11 0.03 	12.87 0.02 	12.51 0.04 	12.19 0.04 
2450978.69	99.99 9.99 	14.51 0.06 	13.09 0.02 	12.61 0.06 	12.12 0.05 
2450979.70	99.99 9.99 	14.60 0.06 	13.14 0.03 	12.64 0.06 	12.14 0.05 
2450980.65	15.15 0.04 	14.68 0.02 	13.16 0.01 	12.61 0.03 	12.08 0.03 
2450981.66	15.22 0.04 	14.74 0.02 	13.25 0.01 	12.69 0.03 	12.12 0.03 
2450981.69	99.99 9.99 	14.74 0.06 	13.24 0.03 	12.71 0.07 	12.14 0.05 
2450982.60	99.99 9.99 	99.99 9.99 	13.30 0.03 	12.79 0.06 	12.13 0.05 
2450982.65	15.29 0.05 	14.81 0.02 	13.30 0.02 	12.75 0.03 	12.16 0.03 
2450982.70	99.99 9.99 	14.84 0.06 	13.36 0.02 	12.83 0.06 	12.24 0.04 
2450983.66	15.31 0.05 	14.89 0.02 	13.38 0.01 	12.83 0.03 	12.24 0.03 
2450984.67	15.39 0.04 	14.94 0.02 	13.45 0.01 	12.92 0.03 	12.33 0.03 
2450984.70	99.99 9.99 	14.95 0.05 	13.51 0.02 	13.00 0.06 	99.99 9.99 
2450985.65	99.99 9.99 	15.00 0.02 	13.53 0.01 	13.03 0.04 	12.42 0.03 
2450986.66	15.48 0.05 	15.05 0.02 	13.56 0.01 	13.08 0.03 	12.47 0.03 
2450986.69	99.99 9.99 	15.09 0.05 	99.99 9.99 	13.13 0.06 	99.99 9.99 
2450987.66	15.50 0.04 	15.09 0.02 	13.63 0.01 	13.12 0.03 	12.55 0.03 
2450988.66	15.53 0.04 	15.12 0.02 	13.67 0.01 	13.18 0.03 	12.63 0.03 
2450989.65	15.58 0.04 	15.18 0.02 	13.72 0.01 	13.24 0.03 	12.68 0.03 
2450990.65	15.61 0.05 	15.21 0.02 	13.77 0.01 	13.28 0.03 	12.75 0.03 
2450990.69	99.99 9.99 	15.22 0.05 	13.82 0.02 	13.34 0.06 	12.80 0.05 
2450991.65	15.62 0.05 	15.22 0.02 	13.82 0.01 	13.31 0.03 	12.81 0.03 
2450992.64	15.64 0.04 	15.24 0.02 	13.84 0.01 	13.38 0.03 	12.86 0.03 
2450993.64	15.62 0.06 	15.26 0.03 	13.88 0.02 	13.42 0.03 	12.91 0.03 
2450994.64	15.69 0.05 	15.29 0.02 	13.92 0.01 	99.99 9.99 	12.97 0.03 
2450995.64	15.69 0.04 	15.31 0.02 	13.96 0.01 	13.49 0.03 	13.04 0.03 
2450996.64	99.99 9.99 	99.99 9.99 	13.97 0.01 	99.99 9.99 	13.09 0.03 
