#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-01-02T16:20:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5687f89e0b00	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJS/200/12/table6
#-nav=cat:J/ApJS/200/12&tab:{J/ApJS/200/12/table6}&key:source=J/ApJS/200/12/table6&HTTPPRM:&&-ref=VIZ5687f89e0b00&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=Filt&-out=MJD&-out=N&-out=sigPip&-out=sigPhot&-out=mag&-out=e_mag&-out=Per&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/200/12/table6
#-source=J/ApJS/200/12/table6
#-order=I
#-out=SN
#-out=Filt
#-out=MJD
#-out=N
#-out=sigPip
#-out=sigPhot
#-out=mag
#-out=e_mag
#-out=Per
#

#RESOURCE=yCat_22000012
#Name: J/ApJS/200/12
#Title: CfA4: light curves for 94 type Ia SNe (Hicken+, 2012)
#Table	J_ApJS_200_12_table6:
#Name: J/ApJS/200/12/table6
#Title: Standard system SN photometry
#Column	SN	(a14)	Supernova identifier	[ucd=meta.id;meta.main]
#Column	Filt	(A2)	Filter used in the observation (BUVi'r'u')	[ucd=instr.setup;obs]
#Column	MJD	(F11.5)	Modified Julian Date of observation	[ucd=time.epoch]
#Column	N	(I2)	Number of successful subtractions (1)	[ucd=meta.number]
#Column	sigPip	(F7.4)	Median pipeline-generated uncertainty (2)	[ucd=stat.error;phot.mag]
#Column	sigPhot	(F7.4)	Standard deviation of surviving photometry for that date	[ucd=stat.stdev;phot.mag]
#Column	mag	(F7.4)	Observed magnitude in Filter	[ucd=phot.mag]
#Column	e_mag	(F7.4)	Total uncertainty in mag (3)	[ucd=stat.error;phot.mag]
#Column	Per	(A3)	[one/two] Period the photometry belongs to (only for table 5) (4)	[ucd=meta.code]
SN|Filt|MJD|N|sigPip|sigPhot|mag|e_mag|Per
2007aj        |r'|54292.22273| 1| 0.3080| 0.1873|21.2063| 0.3605|
2007aj        |i'|54170.32258| 5| 0.0230| 0.0083|17.7804| 0.0245|
2007aj        |i'|54172.36758| 5| 0.0280| 0.0097|17.9270| 0.0296|
2007aj        |i'|54176.26002| 5| 0.0360| 0.0298|18.1178| 0.0467|
2007aj        |i'|54178.18584| 5| 0.0300| 0.0141|17.9433| 0.0332|
2007aj        |i'|54185.27455| 5| 0.0260| 0.0128|17.7672| 0.0290|
2007aj        |i'|54187.20906| 4| 0.0455| 0.0125|17.8867| 0.0472|
2007aj        |i'|54188.21845| 5| 0.0350| 0.0371|17.8828| 0.0510|
2007aj        |i'|54192.35802| 5| 0.0290| 0.0152|17.9463| 0.0328|
2007aj        |i'|54193.30505| 5| 0.0310| 0.0210|18.0904| 0.0374|
2007aj        |i'|54194.33488| 5| 0.0320| 0.0052|18.0983| 0.0324|
2007aj        |i'|54195.24557| 5| 0.0360| 0.0142|18.2232| 0.0387|
2007aj        |i'|54196.21522| 5| 0.0460| 0.0170|18.1450| 0.0490|
2007aj        |i'|54201.30329| 4| 0.0365| 0.0195|18.5543| 0.0414|
2007aj        |i'|54202.17602| 4| 0.0680| 0.0533|18.7044| 0.0864|
2007aj        |i'|54204.18216| 5| 0.0390| 0.0186|18.6545| 0.0432|
2007aj        |i'|54208.24743| 5| 0.0420| 0.0415|18.7887| 0.0590|
2007aj        |i'|54209.27505| 4| 0.0790| 0.0309|19.0002| 0.0848|
2007aj        |i'|54210.24582| 5| 0.0620| 0.0183|19.0445| 0.0646|
2007aj        |i'|54221.24763| 5| 0.1040| 0.0306|19.5293| 0.1084|
2007aj        |i'|54227.25656| 5| 0.1000| 0.0733|19.5619| 0.1240|
2007aj        |i'|54232.33959| 5| 0.1060| 0.0842|19.6147| 0.1353|
2007aj        |i'|54234.22296| 5| 0.1380| 0.0834|19.8656| 0.1612|
2007aj        |i'|54239.31463| 5| 0.1530| 0.1075|19.9601| 0.1870|
2007aj        |i'|54240.33154| 5| 0.1310| 0.0638|19.9117| 0.1457|
2007aj        |i'|54247.27435| 5| 0.1500| 0.0385|20.0649| 0.1549|
2007aj        |i'|54251.33205| 5| 0.1730| 0.0479|20.1878| 0.1795|
2007aj        |i'|54252.29465| 4| 0.1980| 0.1530|20.1389| 0.2502|
2007aj        |i'|54277.28660| 2| 0.3290| 0.1803|20.8810| 0.3752|
2007aj        |i'|54279.18687| 2| 0.3010| 0.0870|21.0371| 0.3133|
2007bj        |B |54213.40057| 4| 0.0150| 0.0200|15.8586| 0.0250|
2007bj        |B |54214.40357| 4| 0.0150| 0.0193|15.9626| 0.0244|
2007bj        |B |54216.47436| 4| 0.0160| 0.0137|16.1592| 0.0211|
2007bj        |B |54218.43021| 4| 0.0160| 0.0190|16.3311| 0.0248|
2007bj        |B |54219.48512| 4| 0.0210| 0.0128|16.4606| 0.0246|
2007bj        |B |54220.42786| 1| 0.0230| 0.0171|16.6075| 0.0286|
2007bj        |B |54226.44243| 1| 0.0320| 0.0246|17.0512| 0.0403|
2007bj        |B |54227.45806| 4| 0.0285| 0.0194|17.2183| 0.0345|
2007bj        |B |54232.45079| 4| 0.0245| 0.0345|17.5914| 0.0423|
2007bj        |B |54234.40222| 4| 0.0250| 0.0216|17.6475| 0.0330|
2007bj        |B |54236.40233| 4| 0.0230| 0.0295|17.7631| 0.0374|
2007bj        |B |54237.34110| 4| 0.0375| 0.0368|17.8833| 0.0526|
2007bj        |B |54239.43645| 4| 0.0255| 0.0388|17.8146| 0.0464|
2007bj        |B |54240.40346| 4| 0.0270| 0.0176|17.9237| 0.0322|
2007bj        |B |54244.43891| 4| 0.0290| 0.0256|18.0352| 0.0387|
2007bj        |B |54247.33397| 4| 0.0450| 0.0545|18.1077| 0.0707|
2007bj        |B |54254.38572| 2| 0.0540| 0.0028|18.1554| 0.0541|
2007bj        |B |54256.39931| 3| 0.0570| 0.0562|18.3956| 0.0800|
2007bj        |B |54259.35240| 4| 0.0405| 0.0544|18.2922| 0.0678|
2007bj        |B |54267.27549| 4| 0.0705| 0.0940|18.6311| 0.1175|
2007bj        |B |54277.37351| 4| 0.0510| 0.0818|18.6877| 0.0964|
2007bj        |B |54278.23792| 1| 0.1410| 0.0871|18.7953| 0.1657|
2007bj        |B |54284.22131| 4| 0.0745| 0.0833|18.9703| 0.1118|
2007bj        |V |54213.39756| 5| 0.0150| 0.0145|15.5826| 0.0209|
2007bj        |V |54214.40057| 5| 0.0150| 0.0101|15.6436| 0.0181|
2007bj        |V |54216.47135| 5| 0.0150| 0.0071|15.7648| 0.0166|
2007bj        |V |54218.42720| 5| 0.0150| 0.0089|15.8426| 0.0174|
2007bj        |V |54219.48209| 5| 0.0150| 0.0081|15.8877| 0.0170|
2007bj        |V |54220.42484| 5| 0.0150| 0.0131|15.9210| 0.0199|
2007bj        |V |54226.43940| 5| 0.0180| 0.0096|16.1613| 0.0204|
2007bj        |V |54227.46111|10| 0.0175| 0.0111|16.1983| 0.0207|
2007bj        |V |54232.44777| 5| 0.0170| 0.0119|16.4955| 0.0208|
2007bj        |V |54234.39920| 5| 0.0170| 0.0068|16.6242| 0.0183|
2007bj        |V |54236.39931| 5| 0.0180| 0.0096|16.7689| 0.0204|
2007bj        |V |54237.33808| 5| 0.0180| 0.0161|16.8223| 0.0242|
2007bj        |V |54239.43344| 5| 0.0190| 0.0167|16.9478| 0.0253|
2007bj        |V |54240.40044| 5| 0.0190| 0.0111|16.9688| 0.0220|
2007bj        |V |54244.43591| 5| 0.0220| 0.0257|17.1453| 0.0338|
2007bj        |V |54247.33096| 5| 0.0250| 0.0182|17.1958| 0.0309|
2007bj        |V |54254.38272| 5| 0.0430| 0.0350|17.5776| 0.0554|
2007bj        |V |54256.39629| 5| 0.0270| 0.0232|17.4992| 0.0356|
2007bj        |V |54259.34937| 5| 0.0270| 0.0378|17.6132| 0.0465|
2007bj        |V |54267.27247| 5| 0.0640| 0.0524|17.7945| 0.0827|
2007bj        |V |54277.37049| 4| 0.0420| 0.0395|18.0502| 0.0577|
2007bj        |V |54278.25161| 5| 0.0650| 0.0543|18.2441| 0.0847|
2007bj        |V |54284.21831| 5| 0.0540| 0.0798|18.3372| 0.0963|
2007bj        |r'|54213.39524| 5| 0.0160| 0.0060|15.7277| 0.0171|
2007bj        |r'|54214.39825| 5| 0.0160| 0.0059|15.7915| 0.0170|
2007bj        |r'|54216.46903| 5| 0.0150| 0.0126|15.8865| 0.0196|
2007bj        |r'|54218.42487| 5| 0.0150| 0.0059|15.9306| 0.0161|
2007bj        |r'|54219.47977| 5| 0.0160| 0.0066|15.9626| 0.0173|
2007bj        |r'|54220.42253| 5| 0.0180| 0.0129|15.9491| 0.0221|
2007bj        |r'|54226.43708| 5| 0.0150| 0.0073|15.9788| 0.0167|
2007bj        |r'|54227.45877|10| 0.0160| 0.0079|16.0134| 0.0178|
2007bj        |r'|54232.44545| 5| 0.0160| 0.0138|16.2297| 0.0211|
2007bj        |r'|54234.39689| 5| 0.0180| 0.0152|16.3481| 0.0235|
2007bj        |r'|54236.39699| 5| 0.0160| 0.0045|16.5031| 0.0166|
2007bj        |r'|54237.33576| 5| 0.0170| 0.0125|16.5724| 0.0211|
2007bj        |r'|54239.43113| 5| 0.0180| 0.0109|16.6942| 0.0210|
2007bj        |r'|54240.39814| 5| 0.0190| 0.0113|16.7292| 0.0221|
2007bj        |r'|54244.43360| 5| 0.0190| 0.0245|16.9207| 0.0310|
2007bj        |r'|54247.32867| 5| 0.0210| 0.0290|17.0048| 0.0358|
2007bj        |r'|54254.38041| 5| 0.0320| 0.0354|17.3408| 0.0477|
2007bj        |r'|54256.39396| 5| 0.0230| 0.0328|17.3148| 0.0400|
2007bj        |r'|54259.34704| 5| 0.0230| 0.0159|17.4279| 0.0279|
2007bj        |r'|54267.27017| 4| 0.0870| 0.0353|17.8507| 0.0939|
2007bj        |r'|54277.36815| 5| 0.0470| 0.1130|18.1157| 0.1224|
2007bj        |r'|54278.25763| 5| 0.0490| 0.0954|17.9625| 0.1072|
2007bj        |r'|54284.21599| 4| 0.0430| 0.1618|18.1162| 0.1674|
2007bj        |i'|54213.39292| 6| 0.0190| 0.0134|16.6120| 0.0232|
2007bj        |i'|54214.39594| 6| 0.0200| 0.0184|16.6559| 0.0272|
2007bj        |i'|54216.46672| 5| 0.0200| 0.0156|16.7243| 0.0254|
2007bj        |i'|54218.42256| 6| 0.0210| 0.0063|16.6809| 0.0219|
2007bj        |i'|54219.47745| 4| 0.0200| 0.0122|16.6266| 0.0234|
2007bj        |i'|54220.42023| 5| 0.0200| 0.0104|16.6545| 0.0225|
2007bj        |i'|54226.43476| 6| 0.0190| 0.0171|16.4735| 0.0256|
2007bj        |i'|54227.45644|10| 0.0250| 0.0394|16.4756| 0.0467|
2007bj        |i'|54232.44312| 6| 0.0180| 0.0154|16.4206| 0.0237|
2007bj        |i'|54234.39457| 6| 0.0190| 0.0244|16.5343| 0.0309|
2007bj        |i'|54236.39464| 6| 0.0205| 0.0332|16.6444| 0.0391|
2007bj        |i'|54237.33345| 6| 0.0185| 0.0103|16.7363| 0.0212|
2007bj        |i'|54239.42882| 6| 0.0200| 0.0271|16.8801| 0.0337|
2007bj        |i'|54240.39582| 6| 0.0220| 0.0292|16.9547| 0.0366|
2007bj        |i'|54244.43128| 6| 0.0225| 0.0437|17.1425| 0.0492|
2007bj        |i'|54247.32634| 6| 0.0245| 0.0511|17.2628| 0.0566|
2007bj        |i'|54254.37808| 6| 0.0335| 0.0390|17.5377| 0.0514|
2007bj        |i'|54256.39165| 6| 0.0330| 0.0625|17.7475| 0.0707|
2007bj        |i'|54259.34472| 5| 0.0370| 0.0767|17.7831| 0.0851|
2007bj        |i'|54267.26785| 6| 0.1570| 0.1221|18.4257| 0.1989|
2007bj        |i'|54277.36583| 5| 0.0690| 0.1366|18.6235| 0.1530|
2007bj        |i'|54284.21368| 3| 0.0920| 0.2114|18.9216| 0.2305|
2007cb        |B |54226.27301| 3| 0.0420| 0.0140|17.4800| 0.0443|
2007cb        |B |54227.23887| 3| 0.0240| 0.0087|17.5562| 0.0255|
2007cb        |B |54232.26576| 3| 0.0290| 0.0107|18.0805| 0.0309|
2007cb        |B |54236.25722| 3| 0.0460| 0.0297|18.5256| 0.0547|
2007cb        |B |54237.25749| 3| 0.0410| 0.0291|18.6455| 0.0503|
2007cb        |B |54240.29934| 3| 0.0550| 0.0580|19.0170| 0.0799|
2007cb        |V |54226.27000| 4| 0.0305| 0.0170|17.1631| 0.0349|
2007cb        |V |54227.23586| 4| 0.0190| 0.0138|17.2350| 0.0235|
2007cb        |V |54232.26274| 4| 0.0230| 0.0083|17.5205| 0.0245|
2007cb        |V |54234.28207| 1| 0.0600| 0.0307|17.5812| 0.0674|
2007cb        |V |54236.25422| 4| 0.0250| 0.0078|17.6896| 0.0262|
2007cb        |V |54237.25448| 4| 0.0260| 0.0114|17.7906| 0.0284|
2007cb        |V |54240.29562| 4| 0.0285| 0.0184|17.9195| 0.0339|
2007cb        |r'|54226.26766| 3| 0.0310| 0.0115|17.2703| 0.0331|
2007cb        |r'|54227.23354| 4| 0.0190| 0.0061|17.3146| 0.0200|
2007cb        |r'|54232.26043| 4| 0.0235| 0.0061|17.5308| 0.0243|
2007cb        |r'|54236.25191| 4| 0.0210| 0.0172|17.6053| 0.0271|
2007cb        |r'|54237.25218| 4| 0.0235| 0.0158|17.6086| 0.0283|
2007cb        |r'|54240.29263| 4| 0.0240| 0.0099|17.6635| 0.0260|
2007cb        |i'|54226.26536| 3| 0.0520| 0.0206|18.0079| 0.0559|
2007cb        |i'|54227.23123| 4| 0.0400| 0.0486|17.9631| 0.0630|
2007cb        |i'|54232.25810| 4| 0.0420| 0.0624|18.2199| 0.0752|
2007cb        |i'|54234.27742| 4| 0.0485| 0.0556|18.1745| 0.0738|
2007cb        |i'|54236.25854| 8| 0.0330| 0.0526|18.0560| 0.0621|
2007cb        |i'|54237.24985| 4| 0.0345| 0.0548|18.0482| 0.0648|
2007cb        |i'|54240.28963| 4| 0.0335| 0.0465|17.9877| 0.0573|
2007cc        |B |54226.28788| 2| 0.0360| 0.0290|17.1707| 0.0462|
2007cc        |B |54227.25181| 4| 0.0180| 0.0167|16.8872| 0.0245|
2007cc        |B |54232.24969| 1| 0.1000| 0.0356|17.4949| 0.1062|
